alcaldia|cantidad|fecha
Álvaro Obregón|2|2020-01-01
Álvaro Obregón|4|2020-01-02
Álvaro Obregón|3|2020-01-03
Álvaro Obregón|2|2020-01-05
Álvaro Obregón|1|2020-01-06
Álvaro Obregón|1|2020-01-07
Álvaro Obregón|1|2020-01-08
Álvaro Obregón|1|2020-01-09
Álvaro Obregón|4|2020-01-10
Álvaro Obregón|2|2020-01-11
Álvaro Obregón|1|2020-01-12
Álvaro Obregón|2|2020-01-13
Álvaro Obregón|3|2020-01-14
Álvaro Obregón|2|2020-01-15
Álvaro Obregón|2|2020-01-18
Álvaro Obregón|1|2020-01-19
Álvaro Obregón|1|2020-01-20
Álvaro Obregón|4|2020-01-22
Álvaro Obregón|2|2020-01-23
Álvaro Obregón|3|2020-01-27
Álvaro Obregón|1|2020-01-28
Álvaro Obregón|3|2020-01-29
Álvaro Obregón|2|2020-01-31
Álvaro Obregón|2|2020-02-01
Álvaro Obregón|1|2020-02-02
Álvaro Obregón|2|2020-02-03
Álvaro Obregón|1|2020-02-04
Álvaro Obregón|2|2020-02-05
Álvaro Obregón|2|2020-02-07
Álvaro Obregón|4|2020-02-09
Álvaro Obregón|1|2020-02-10
Álvaro Obregón|3|2020-02-12
Álvaro Obregón|1|2020-02-13
Álvaro Obregón|1|2020-02-15
Álvaro Obregón|1|2020-02-16
Álvaro Obregón|2|2020-02-17
Álvaro Obregón|2|2020-02-19
Álvaro Obregón|1|2020-02-20
Álvaro Obregón|1|2020-02-22
Álvaro Obregón|1|2020-02-23
Álvaro Obregón|2|2020-02-24
Álvaro Obregón|2|2020-02-25
Álvaro Obregón|2|2020-02-27
Álvaro Obregón|3|2020-02-28
Álvaro Obregón|1|2020-03-01
Álvaro Obregón|1|2020-03-03
Álvaro Obregón|2|2020-03-04
Álvaro Obregón|3|2020-03-06
Álvaro Obregón|1|2020-03-07
Álvaro Obregón|1|2020-03-08
Álvaro Obregón|3|2020-03-09
Álvaro Obregón|2|2020-03-12
Álvaro Obregón|3|2020-03-13
Álvaro Obregón|1|2020-03-14
Álvaro Obregón|2|2020-03-17
Álvaro Obregón|1|2020-03-21
Álvaro Obregón|3|2020-03-24
Álvaro Obregón|1|2020-03-25
Álvaro Obregón|2|2020-03-26
Álvaro Obregón|1|2020-03-30
Álvaro Obregón|1|2020-04-01
Álvaro Obregón|2|2020-04-02
Álvaro Obregón|2|2020-04-03
Álvaro Obregón|1|2020-04-04
Álvaro Obregón|1|2020-04-05
Álvaro Obregón|1|2020-04-06
Álvaro Obregón|1|2020-04-12
Álvaro Obregón|1|2020-04-13
Álvaro Obregón|1|2020-04-14
Álvaro Obregón|2|2020-04-16
Álvaro Obregón|2|2020-04-17
Álvaro Obregón|1|2020-04-18
Álvaro Obregón|1|2020-04-19
Álvaro Obregón|1|2020-04-20
Álvaro Obregón|3|2020-04-21
Álvaro Obregón|1|2020-04-25
Álvaro Obregón|1|2020-04-26
Álvaro Obregón|1|2020-04-28
Álvaro Obregón|1|2020-04-30
Álvaro Obregón|2|2020-05-03
Álvaro Obregón|1|2020-05-05
Álvaro Obregón|1|2020-05-07
Álvaro Obregón|2|2020-05-09
Álvaro Obregón|1|2020-05-10
Álvaro Obregón|2|2020-05-14
Álvaro Obregón|2|2020-05-15
Álvaro Obregón|1|2020-05-18
Álvaro Obregón|1|2020-05-20
Álvaro Obregón|1|2020-05-24
Álvaro Obregón|1|2020-05-28
Álvaro Obregón|1|2020-06-02
Álvaro Obregón|3|2020-06-04
Álvaro Obregón|4|2020-06-05
Álvaro Obregón|2|2020-06-06
Álvaro Obregón|1|2020-06-07
Álvaro Obregón|3|2020-06-08
Álvaro Obregón|2|2020-06-10
Álvaro Obregón|1|2020-06-11
Álvaro Obregón|2|2020-06-12
Álvaro Obregón|1|2020-06-14
Álvaro Obregón|1|2020-06-15
Álvaro Obregón|1|2020-06-19
Álvaro Obregón|1|2020-06-23
Álvaro Obregón|1|2020-06-25
Álvaro Obregón|1|2020-06-26
Álvaro Obregón|1|2020-06-27
Álvaro Obregón|2|2020-06-30
Álvaro Obregón|1|2020-07-01
Álvaro Obregón|1|2020-07-03
Álvaro Obregón|1|2020-07-05
Álvaro Obregón|1|2020-07-06
Álvaro Obregón|2|2020-07-08
Álvaro Obregón|2|2020-07-12
Álvaro Obregón|1|2020-07-13
Álvaro Obregón|1|2020-07-14
Álvaro Obregón|3|2020-07-15
Álvaro Obregón|2|2020-07-16
Álvaro Obregón|1|2020-07-18
Álvaro Obregón|3|2020-07-19
Álvaro Obregón|1|2020-07-20
Álvaro Obregón|1|2020-07-22
Álvaro Obregón|1|2020-07-23
Álvaro Obregón|2|2020-07-24
Álvaro Obregón|1|2020-07-25
Álvaro Obregón|2|2020-07-27
Álvaro Obregón|2|2020-07-28
Álvaro Obregón|2|2020-07-29
Álvaro Obregón|1|2020-07-30
Álvaro Obregón|2|2020-07-31
Álvaro Obregón|3|2020-08-01
Álvaro Obregón|2|2020-08-03
Álvaro Obregón|2|2020-08-04
Álvaro Obregón|1|2020-08-05
Álvaro Obregón|2|2020-08-06
Álvaro Obregón|1|2020-08-07
Álvaro Obregón|1|2020-08-08
Álvaro Obregón|1|2020-08-09
Álvaro Obregón|1|2020-08-10
Álvaro Obregón|1|2020-08-14
Álvaro Obregón|1|2020-08-15
Álvaro Obregón|2|2020-08-16
Álvaro Obregón|2|2020-08-17
Álvaro Obregón|2|2020-08-18
Álvaro Obregón|1|2020-08-20
Álvaro Obregón|3|2020-08-21
Álvaro Obregón|2|2020-08-22
Álvaro Obregón|1|2020-08-23
Álvaro Obregón|2|2020-08-24
Álvaro Obregón|2|2020-08-26
Álvaro Obregón|1|2020-08-27
Álvaro Obregón|1|2020-08-29
Álvaro Obregón|3|2020-08-30
Álvaro Obregón|2|2020-09-01
Álvaro Obregón|1|2020-09-04
Álvaro Obregón|2|2020-09-05
Álvaro Obregón|1|2020-09-06
