mpio|anio_mes|tipaccid|cantidad
Álvaro Obregón|2020-1|1|30
Álvaro Obregón|2020-1|2|2
Álvaro Obregón|2020-1|4|10
Álvaro Obregón|2020-1|6|1
Álvaro Obregón|2020-1|10|4
Álvaro Obregón|2020-1|11|1
Álvaro Obregón|2020-10|1|38
Álvaro Obregón|2020-10|2|3
Álvaro Obregón|2020-10|4|4
Álvaro Obregón|2020-10|10|4
Álvaro Obregón|2020-10|11|1
Álvaro Obregón|2020-11|1|27
Álvaro Obregón|2020-11|2|5
Álvaro Obregón|2020-11|4|7
Álvaro Obregón|2020-11|10|4
Álvaro Obregón|2020-11|11|2
Álvaro Obregón|2020-12|1|15
Álvaro Obregón|2020-12|2|1
Álvaro Obregón|2020-12|4|6
Álvaro Obregón|2020-12|10|5
Álvaro Obregón|2020-2|1|26
Álvaro Obregón|2020-2|2|3
Álvaro Obregón|2020-2|4|6
Álvaro Obregón|2020-2|10|2
Álvaro Obregón|2020-3|1|17
Álvaro Obregón|2020-3|2|2
Álvaro Obregón|2020-3|4|6
Álvaro Obregón|2020-3|10|2
Álvaro Obregón|2020-3|11|1
Álvaro Obregón|2020-4|1|14
Álvaro Obregón|2020-4|4|8
Álvaro Obregón|2020-4|10|3
Álvaro Obregón|2020-5|1|6
Álvaro Obregón|2020-5|2|1
Álvaro Obregón|2020-5|4|1
Álvaro Obregón|2020-5|10|7
Álvaro Obregón|2020-6|1|17
Álvaro Obregón|2020-6|2|2
Álvaro Obregón|2020-6|4|3
Álvaro Obregón|2020-6|5|1
Álvaro Obregón|2020-6|10|5
Álvaro Obregón|2020-7|1|23
Álvaro Obregón|2020-7|2|1
Álvaro Obregón|2020-7|4|6
Álvaro Obregón|2020-7|10|4
Álvaro Obregón|2020-8|1|20
Álvaro Obregón|2020-8|2|3
Álvaro Obregón|2020-8|4|6
Álvaro Obregón|2020-8|10|8
Álvaro Obregón|2020-8|11|1
Álvaro Obregón|2020-9|1|15
Álvaro Obregón|2020-9|2|2
Álvaro Obregón|2020-9|4|4
Álvaro Obregón|2020-9|6|1
Álvaro Obregón|2020-9|10|7
Azcapotzalco|2020-1|1|25
Azcapotzalco|2020-1|2|1
Azcapotzalco|2020-1|4|1
Azcapotzalco|2020-1|10|2
Azcapotzalco|2020-1|12|1
Azcapotzalco|2020-10|1|25
Azcapotzalco|2020-10|2|1
Azcapotzalco|2020-10|4|2
Azcapotzalco|2020-10|10|9
Azcapotzalco|2020-11|1|15
Azcapotzalco|2020-11|2|1
Azcapotzalco|2020-11|4|2
Azcapotzalco|2020-11|10|3
Azcapotzalco|2020-12|1|15
Azcapotzalco|2020-12|4|7
Azcapotzalco|2020-12|10|5
Azcapotzalco|2020-2|1|20
Azcapotzalco|2020-2|2|2
Azcapotzalco|2020-2|4|4
Azcapotzalco|2020-2|10|4
Azcapotzalco|2020-3|1|26
Azcapotzalco|2020-3|4|9
Azcapotzalco|2020-3|7|1
Azcapotzalco|2020-4|1|13
Azcapotzalco|2020-4|4|3
Azcapotzalco|2020-4|10|3
Azcapotzalco|2020-5|1|11
Azcapotzalco|2020-5|4|1
Azcapotzalco|2020-5|10|1
Azcapotzalco|2020-6|1|10
Azcapotzalco|2020-6|4|4
Azcapotzalco|2020-6|10|1
Azcapotzalco|2020-7|1|14
Azcapotzalco|2020-7|4|1
Azcapotzalco|2020-7|10|6
Azcapotzalco|2020-7|11|1
Azcapotzalco|2020-8|1|7
Azcapotzalco|2020-8|4|1
Azcapotzalco|2020-8|10|2
Azcapotzalco|2020-8|11|1
Azcapotzalco|2020-9|1|16
Azcapotzalco|2020-9|4|4
Azcapotzalco|2020-9|10|3
Benito Juárez|2020-1|1|38
Benito Juárez|2020-1|2|2
Benito Juárez|2020-1|4|4
Benito Juárez|2020-1|10|5
Benito Juárez|2020-1|11|4
Benito Juárez|2020-10|1|23
Benito Juárez|2020-10|2|2
Benito Juárez|2020-10|4|8
Benito Juárez|2020-10|10|6
Benito Juárez|2020-11|1|15
Benito Juárez|2020-11|4|4
Benito Juárez|2020-11|10|9
Benito Juárez|2020-12|1|17
Benito Juárez|2020-12|4|8
Benito Juárez|2020-12|10|5
Benito Juárez|2020-2|1|54
Benito Juárez|2020-2|2|3
Benito Juárez|2020-2|4|7
Benito Juárez|2020-2|10|10
Benito Juárez|2020-3|1|28
Benito Juárez|2020-3|2|3
Benito Juárez|2020-3|4|3
Benito Juárez|2020-3|6|1
Benito Juárez|2020-3|10|6
Benito Juárez|2020-3|11|2
Benito Juárez|2020-4|1|19
Benito Juárez|2020-4|4|3
Benito Juárez|2020-4|10|3
Benito Juárez|2020-5|1|11
Benito Juárez|2020-5|4|2
Benito Juárez|2020-5|10|3
Benito Juárez|2020-5|12|1
Benito Juárez|2020-6|1|11
Benito Juárez|2020-6|4|7
Benito Juárez|2020-6|10|6
Benito Juárez|2020-7|1|24
Benito Juárez|2020-7|4|8
Benito Juárez|2020-7|10|3
Benito Juárez|2020-8|1|20
Benito Juárez|2020-8|4|2
Benito Juárez|2020-8|10|7
Benito Juárez|2020-9|1|29
Benito Juárez|2020-9|4|7
Benito Juárez|2020-9|10|5
Coyoacán|2020-1|1|41
Coyoacán|2020-1|2|1
Coyoacán|2020-1|4|7
Coyoacán|2020-1|10|3
Coyoacán|2020-10|1|21
Coyoacán|2020-10|2|1
Coyoacán|2020-10|4|4
Coyoacán|2020-10|10|6
Coyoacán|2020-10|11|1
Coyoacán|2020-11|1|21
Coyoacán|2020-11|4|2
Coyoacán|2020-11|10|1
Coyoacán|2020-12|1|16
Coyoacán|2020-12|4|5
Coyoacán|2020-2|1|38
Coyoacán|2020-2|2|1
Coyoacán|2020-2|4|9
Coyoacán|2020-2|10|6
Coyoacán|2020-3|1|28
Coyoacán|2020-3|4|6
Coyoacán|2020-3|10|2
Coyoacán|2020-4|1|7
Coyoacán|2020-4|4|1
Coyoacán|2020-5|1|8
Coyoacán|2020-5|4|6
Coyoacán|2020-6|1|17
Coyoacán|2020-6|4|3
Coyoacán|2020-6|10|2
Coyoacán|2020-7|1|14
Coyoacán|2020-7|4|4
Coyoacán|2020-7|10|2
Coyoacán|2020-8|1|18
Coyoacán|2020-8|4|9
Coyoacán|2020-8|10|3
Coyoacán|2020-9|1|30
Coyoacán|2020-9|4|4
Coyoacán|2020-9|10|2
Cuajimalpa de Morelos|2020-1|1|12
Cuajimalpa de Morelos|2020-1|2|1
Cuajimalpa de Morelos|2020-1|4|1
Cuajimalpa de Morelos|2020-10|1|6
Cuajimalpa de Morelos|2020-10|2|1
Cuajimalpa de Morelos|2020-10|4|2
Cuajimalpa de Morelos|2020-10|10|3
Cuajimalpa de Morelos|2020-10|11|1
Cuajimalpa de Morelos|2020-11|1|3
Cuajimalpa de Morelos|2020-11|4|1
Cuajimalpa de Morelos|2020-12|1|2
Cuajimalpa de Morelos|2020-12|2|3
Cuajimalpa de Morelos|2020-2|1|6
Cuajimalpa de Morelos|2020-2|2|2
Cuajimalpa de Morelos|2020-2|4|3
Cuajimalpa de Morelos|2020-2|10|2
Cuajimalpa de Morelos|2020-3|1|9
Cuajimalpa de Morelos|2020-3|4|1
Cuajimalpa de Morelos|2020-3|10|1
Cuajimalpa de Morelos|2020-4|1|3
